"﻿""headline""","summary","submitDate","rating","source","upvote","downvote","deploymentArchitecture","partnerReview","submitTimestamp","user_id","user_title","user_industry","user_companySize","user_function","lessonslearned-like-most","lessonslearned-dislike-most","evaluation-contracting","why-purchase-s24","factors-drove-decision-s24","vendors-considered","integration-deployment","service-support","product-capabilities","deployment-architecture-s24","deployment-country-multi","reviewId"
"I think implementation was easy.","Overall Experience was good.It is easy to implement .It is helpful for me to get the desired result.","2019/5/7","5","Other ","0","0","Don't know","FALSE",1557162000000,"112381640","unknownTitle","Services (non-Government)","<50M USD","Software Development","I like the most about this product is, It reduces the human efforts and time.","Not as Such","5","Reduce time to market","Overall cost","","5","5","5","Don't know","India",878864
"The test mechanization structure furnished inside Katalon Studio.","The possibility of looking into another test computerization device is dependably an energizing one for any product testing organization. Picking the correct device for item testing for anybody in the product testing network ends up simpler with the assistance of fair-minded Test Automation Tool surveys by experienced test mechanization specialists. In this blog, we take a gander at each component of Katalon Studio in detail.","2019/5/7","5","Referred (colleague, friend, peer)","1","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1557162000000,"112382310","Developer","Services (non-Government)","<50M USD","Other","It's likewise useful for analyzers with restricted specialized information. Despite the fact that Katalon Studio is apprentice well disposed I lean toward the adaptability of a Page Object Model-based system from Selenium WebDriver over Katalon studio. Selenium is a robotization API accessible in different programming dialects like Java, JS, Python, Ruby, C#.","Katalon Studio is worked as a brought together pack which incorporates practically all essential things like Java, Android SDK, Web drivers to drive programs, and required conditions. You should simply to download and introduce it on your PC.","4","Improve business process outcomes, Improve business process agility, Improve supplier or partner relationships","Strong consulting partnership, Strong customer focus, Product roadmap and future vision, Strong user community","","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",878952
"Useful, Time Saver, Easy to Use, Good UI and the BEST In the Industry of Automation","Pros: Katalon is easily one of the best open source software tools for GUI automation testing. Its intuitive interface requires a minimal learning curve and with the official documentation online, someone with zero testing/coding experience can write a comprehensive test. Test suites and collections allow enterprise level testing by allowing users to run numerous tests in series or parallel in different browser configurations.

If you have some experience as a programmer, Katalon's modularity allows it to be extremely flexible. Programmers can write robust keywords (functions) and classes, that can extend testing functionality. The Cucumber integration makes it easy to write BDD tests. Katalon also allows you to import .jar files to extend functionality making the program even more robust.

Cons: Katalon is an excellent software, but it is not without its bugs. For convenience I will list them:

- Biggest issue is documentation. There is some great official documentation for Katalon, but there is also a lack of basic API documentation. I had to go to a Katalon forum to figure out about object parameterization. Why are the Web UI functions not explicitly documented? The links to the docs I've seen online are all dead.

- Issues with building project path/classes: sometimes if you try to write classes and use them in other classes (OOP) Katalon will not recognize the class and you have to restart the program for a clean build. This was most prominent in how the Cucumber tests have to be structured. Feature files and step definitions have to be in specific locations, and there is not really any official documentation for this.","2019/5/7","5","Referred (colleague, friend, peer)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1557162000000,"112382120","Developer","Services (non-Government)","<50M USD","Other","With advanced technology, high-quality applications are now inevitable. Manual testing of applications also slows down this rapid process. Considering the different factors such as slowness as well as multi-platform support, cross-browser, responsive design and more, an application's manual test may leave you with unexpected complications and extra efforts.","There may be more browser support. 
","NaN","","","","4","4","5","Cloud (SaaS or PaaS or IaaS)","India",878919
"Good Automation tool with multiple features","Katalon studio provide facility to automate both web and mobile applications. It is open source tool which has multiple features like recorder-which helps to record the activities on the web page and then automate them ,spy web and we can create our own custom keywords. It comes as plugin in chrome browser and also download it as application. It provide inbuilt templates for storing the test cases and custom keywords. We have integrated it with Jenkins , Jira and Github without any issue.It become slow in debugging mode, overall it is good tool for the automation engineers but it only work for two languages java and groovy.","2019/5/6","4","Self directed (Gartner.com, search, ad/promo)","0","0","Don't know","FALSE",1557075600000,"111903180","Automation Engineer","IT Services","50M - 250M USD","Research and Development","It is free and we can get locators(CSS and Xpath) after recording script in it and later use them. Even we can also create our own locators and use in it.
Integration with other tools is also effective for us","Speed of recorder is fast and sometimes it misses the elements , scripting language limitation- it only uses groovy and java , so the engineer restricts here who know other languages.","NaN","","","","4","4","4","Don't know","India",875271
"One of the best Application for Automating Mobile, API, Web.","Katalon Studio is one the best Automation Application I have used for automating Web and Mobile both.
One stop application for Automating API's, Mobile Applications, Web Applications.
The option where we can record the steps which can be saved as script and can be used again.
It also writes the script in the background according to steps we record.
One should use this application for Automating the Applications

 
","2019/5/6","5","Self directed (Gartner.com, search, ad/promo)","0","0","On-premises","FALSE",1557075600000,"111997800","Test Engineer","Healthcare and Biotech","<50M USD","Other","Provide self-written scripts in groovy for the tests recorded.
Easy to understand the flow of the tests written.
Can be used for Automating API, Mobile, Web","Git integration was one which I dislike about the product

","4","Create internal/operational efficiencies, Improve business process outcomes, Improve business process agility","Product functionality and performance","","5","5","5","On-premises","India",876102
"Benefits of Katalon studio","Katalon Studio allows running automated tests of UI elements also it includes pop-ups, iFrames as well as it provides wait-time. This tool can be launched on various platforms such as  Microsoft Windows, macOS, and Linux. ... Katalon has dual scripting interfaces for users with different programming skills because of which  make the work environment more effective","2019/5/6","4","Other ","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1557075600000,"112345130","system engineer","IT Services","10B - 30B USD","Research and Development","Dashborads and reporting and the cross browser support","cross platform support","4","Cost management, Improve business process outcomes, Improve business process agility, Drive revenue growth, Improve supplier or partner relationships","Strong user community, Product roadmap and future vision, Product functionality and performance, Strong customer focus","","4","4","4","Cloud (SaaS or PaaS or IaaS)","India",869825
" Intuitive analytics by katalon","Generally, Katalon is intended to make and reuse mechanized test contents for UI without coding. Katalon Studio permits running computerized trial of UI components, including pop-ups, iFrames, and hold up time. The device can be propelled on Microsoft Windows, macOS, and Linux.","2019/5/6","5","Self directed (Gartner.com, search, ad/promo)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1557075600000,"112042570","Analyst","Services (non-Government)","<50M USD","Other","Katalon's UI offers rich designs with tree perspectives, tables, and menus which enable a client to oversee test relics effectively. Analyzers discover the apparatus' interface helpful, easy to understand, clean, and simple to get a handle on notwithstanding for non-specialized clients.","Clients report a few bugs that hamper testing, backing it off. For instance, in some cases the device solidifies or may begin slacking, the content and article confirmation inside iframes is dangerous. Versatile testing takes additional time because of the need to catch and compose code.","5","Enhance decision making, Drive revenue growth, Reduce time to market","Product functionality and performance, Strong services expertise, Overall cost","","5","5","5","Cloud (SaaS or PaaS or IaaS)","India|United States",862589
"A powerful automated testing solution.","We use Katalon in our web and mobile project test, I like because they have serval interesting features e.g automation, and we create automatization test.","2019/5/5","4","Invited by Gartner (email, event, account rep)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556989200000,"112359750","Director","Telecommunication","30B + USD","IT","I like the automation mode.","sometimes I have bugs","4","Cost management, Create internal/operational efficiencies, Improve business process outcomes, Improve business process agility, Drive revenue growth","Strong services expertise","","4","4","4","Cloud (SaaS or PaaS or IaaS)","France",873578
"Great Overall Experience","It has been a really good experience using this tool for the last few months. First of all, it is free. Additionally, it is Selenium based. The GUI is really intuitive and user-friendly. Then, we have Mobile app integration through Appium and cross-browser support as well. This means I can run the same tests on my mobile phone as I can on my PC. Unlike other tools, API testing is easy without the need of any additional integration efforts.It maintains the Test history and displays test results. ","2019/5/3","4","Referred (colleague, friend, peer)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556816400000,"112349280","DevOps Engineer","IT Services","50M - 250M USD","Research and Development","Easy to use GUI, cross-browser support, smart code completion and the fact that users with low knowledge of coding can also perform tests.","It lacks support of multiple scripting languages unlike other tools. Documentation is lengthy and complex.","4","Don't know","Overall cost, Financial/organizational viability, Product functionality and performance","","4","4","4","Cloud (SaaS or PaaS or IaaS)","United States|India",870385
"Katalon !! the best way to automate your test efforts.","Katalon is tool used for automation testing, we can develop the automation testing for mobile as well as web appplication. The toll also helps you to provide the test recording and analysis report which can further be leverage for other things. It supports nearly all the browser available nowadays like safari, chrome, firefox etc. There is no programming knowledge is required to get start for this tool. It has help us in reducing the time efforts required for the QA. Also the report generated is of much help . The tool is 10/10","2019/5/3","5","Self directed (Gartner.com, search, ad/promo)","0","0","On-premises","FALSE",1556816400000,"104909330","Technical Lead","Banking","3B - 10B USD","Management / Business Consulting","the features of this product are very captivating,  its extended support for almost all the browser, no programming skills are required, integration with CI/CD and many more..","this product has almost all the feature, one can ever ask for.","5","Drive revenue growth, Drive innovation, Create internal/operational efficiencies, Reduce time to market, Enhance decision making, Improve business process agility, Improve business process outcomes, Improve supplier or partner relationships, Improve customer relations/service, Improve compliance & risk management","Breadth of services, Strong customer focus, Product functionality and performance, Overall cost","","5","5","5","On-premises","Canada",870235
"Katalon - The solution of automation","Katalon made automation easier. It is easy to use. Katalon Studio is one of the emerging tools for automated testing. Along with Selenium, Ranorex, TestComplete, and Apache JMeter, it’s worth discussing as more and more testing engineers opt for Katalon. The platform facilitates running automated tests for Web interfaces, APIs, and mobile apps (both iOS and Android), provides test recording, and analysis reports.","2019/5/3","5","Referred (colleague, friend, peer)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556816400000,"112345320","Automation and Manual Tester","IT Services","10B - 30B USD","Software Development","The platform facilitates running automated tests for Web interfaces, APIs, and mobile apps (both iOS and Android), provides test recording, and analysis reports.","I didn't face any issues till now.","5","Improve compliance & risk management, Enhance decision making, Improve business process agility, Improve business process outcomes, Improve supplier or partner relationships, Improve customer relations/service","Strong services expertise, Breadth of services","","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",869977
"Excellent Code-less automation tool with much less effort and time!!!","Excellent code-Less automation tool! Provides a clean and easy working environment even for the beginner test engineers towards automation. Makes the automation work timeline much less and to complete the task on time.","2019/5/3","4","Self directed (Gartner.com, search, ad/promo)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556816400000,"112269690","Software test engineer","IT Services","50M - 250M USD","Other","It's so easy to use with much less knowledge of coding and programming concepts which helps beginners and manual testers to work around automation easily and efficiently.","* The support community is not as strong as other automation tools like selenium, QTP. It's still growing at a fast pace. 

* extensions and plugin are not as rich 
","4","Cost management, Create internal/operational efficiencies, Drive innovation","Product roadmap and future vision, Product functionality and performance, Strong customer focus, Breadth of services","","5","3","4","Cloud (SaaS or PaaS or IaaS)","India",869274
"Katalon Studio is a fairly simple, straightforward , Easy to learn, Amazing tool...","Easy to setup and quick to get started: As Katalon comes with built-in features a new automation tester can automate easily.There is also a scripting mode for advanced users and test cases Script creation time is quick. Katalon provides amazing integration with 3rd party tools like JIRA, ALM, GIT, JENKINS, etc. ","2019/5/3","4","Invited by Gartner (email, event, account rep)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556816400000,"112343110","Devloper","Services (non-Government)","<50M USD","Research and Development"," Katalon Studio Easy to use , Amazing features for both web app and mobile application , It supports both manual and script mode. It is stable, light, and more powerful than paid tools.Powerful tool but easy to use and simple to deploy","  Overall it is good but it is slow sometimes .","5","Improve supplier or partner relationships, Cost management, Create internal/operational efficiencies, Improve compliance & risk management","Product functionality and performance, Strong user community, Strong services expertise, Overall cost","","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",869336
"Special tool to reduce time and efforts helps in enhance quality of work","Katalon studio is extremely valuable computerization device. When you download it and unfasten you have a perfect and gorgeous GUI that you can use to begin making robotization test. 

Another advantage of utilizing this testing instrument is the expectation to absorb information is little, and you needn't bother with any programming abilities to begin. 

So analyzers who have no coding background can, download it and begin inside 10 minutes to make robotization tests cases.","2019/5/2","5","Self directed (Gartner.com, search, ad/promo)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556730000000,"112322010","Business Analyst","Services (non-Government)","<50M USD","Other","This item has changed the methodology for testing, Data mining and quality yield can be accomplished with this. It helps in accomplishing colossal errand in limited capacity to focus time.","I would not say disdained but rather their is dependably a zone of progress like the interface and approach, simple for usage.","5","Create internal/operational efficiencies, Cost management, Improve compliance & risk management, Improve customer relations/service, Improve business process agility, Improve business process outcomes","Strong customer focus, Strong services expertise, Financial/organizational viability","","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",865589
"The possibility of auditing another test computerization.","Katalon Studio is a free and hearty mechanization answer for API, Web and Mobile testing. It coordinates every essential part with inherent catchphrases and venture formats into a total computerization structure. Katalon Studio is anything but difficult to-use for new clients yet at the same time offers propelled abilities for experienced clients. The arrangement is trusted by a functioning network of over 350K clients from 150+ nations around the globe.","2019/5/2","4","Referred (colleague, friend, peer)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556730000000,"112025540","Analyst","Services (non-Government)","<50M USD","Other","Information driven. A test execution system that highlights perusing test contents from different information sources. The information is taken from information pools, Excel records, ADO objects, CSV documents, and ODBC sources.","Execution issues.
Clients report a few bugs that hamper testing, backing it off. For instance, once in a while the device solidifies or may begin slacking, the content and article check inside iframes is risky. Versatile testing takes additional time because of the need to catch and compose code.","4","Drive revenue growth, Improve business process agility, Improve supplier or partner relationships, Improve customer relations/service, Improve business process outcomes","Product roadmap and future vision, Strong customer focus, Strong user community","","5","4","5","Cloud (SaaS or PaaS or IaaS)","India",818385
"Future of automation testing ","This is the best software for automation testing for users without coding knowledge .  Any one can easily record and automate mobile and web applications easily without prior coding knowledge .","2019/5/2","5","Invited by Vendor (direct, user community)","0","0","Don't know","FALSE",1556730000000,"111286220","Test analyst","Education","50M - 250M USD","Other","Ease  of record and playback for any user without coding knowledge .","At times mobile devices doesn't get connected  .","5","Don't know, Cost management, Drive revenue growth","Product roadmap and future vision, Strong consulting partnership, Overall cost","","5","5","5","Don't know","India",864134
"testing is easy with katalon","Overall Experience is awesome. it’s worth discussing as more and more testing engineers opt for Katalon. Because it is an open source automation testing tool where engineer can easily learn this.The software is built on top of open-source automation frameworks Selenium.","2019/5/1","5","Invited by Gartner (email, event, account rep)","0","0","Hybrid Cloud and On-premises","FALSE",1556643600000,"112310790","Design Engineer","IT Services","1B - 3B USD","IT Services","Its setup and installation is very simple, you just need to download the respective package based on your OS from Katalon Studio Official website, extract it and then activate it using your credentials.Katalon caters to the need of non-programmers by providing record & playback feature and scripting in manual mode for test case creation. Along with that it has a relatively simpler learning curve which helps manual tester to easily create automation tests.","Unlike tools like Selenium the script creation is limited to Java and Groovy only.As of now there is no support for distributed testing.It cannot automate desktop applications unlike some licensed tools like UFT and Test Complete.","4","Improve business process outcomes, Cost management, Improve customer relations/service","Strong customer focus, Breadth of services, Financial/organizational viability, Strong services expertise","","5","4","5","Hybrid Cloud and On-premises","India",863284
"Record once, let it do your work","It is an automated tool that I feels best as compared to others as it takes very less time to provide result and helps in doing testing automated.It is easy to learn as well It reduces human work. It records once and doing again and again when we want.Implementation was also easy.","2019/5/1","5","Referred (colleague, friend, peer)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556643600000,"112082050","Software Developer","Services (non-Government)","<50M USD","Software Development","I am using it so I know it is very helpful for sanity testing of overall module. It is an automation tool that takes very less time to perform an activity.It gives may options for testing in single product.","Nothing, as its best version","5","Cost management, Improve compliance & risk management, Improve business process outcomes, Improve business process agility","Strong consulting partnership, Product functionality and performance, Strong customer focus, Overall cost","","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",833374
"Katalon Studio is very easy to use","I have been a newbie in terms of automation testing, the first tool that was referred to me by my peers was Katalon Studio, creating test cases and integrating them in test suite is so made so easy by this tool, I could create complex test cases in very much lesser time that I invested in learning about automation. Katalon Studio is very user friendly in every aspect and one can easily create test cases and test suites with ease. ","2019/4/30","5","Referred (colleague, friend, peer)","0","0","Don't know","FALSE",1556557200000,"112289720","Manager","IT Services","1B - 3B USD","Management / Business Consulting","It is very user friendly and application of automation concepts is done very well.
Overall it is very fast growing tool with lots of functionalities ","None ","NaN","","","","5","4","5","Don't know","India",860320
"Implementation is tough, need to create objects manually everytime.","I dont like the tool.  It s not able to recity same objects in 2 different rows. It consider them as the same object so cant perform action on that object. I have to create object manually using xpath for my test case.","2019/4/30","2","Referred (colleague, friend, peer)","0","0","On-premises","FALSE",1556557200000,"112288660","Computer Consultancy","Services (non-Government)","<50M USD","Management / Business Consulting","Recording the scripts are quite easy and don't need to do much coding.","Auto generated object doesn't work all the time. Need to create objects manually.","2","Cost management, Improve business process agility","Product functionality and performance, Overall cost","","3","3","2","On-premises","India",860070
"Katalon is an automation testing tool which can be useful for sanity/ Regression testing","Works as software tester to support and Test application and projects and enhance the knowledge . 
Katalon is an automation testing tool which can be useful for sanity/ Regression testing. ","2019/4/30","5","Referred (colleague, friend, peer)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556557200000,"112288190","Software developer","IT Services","10B - 30B USD","Software Development","It is very useful and easy to use and also time saving. ","Its hard to configure into system and use in cloud space.","4","Improve compliance & risk management, Cost management, Improve business process outcomes, Enhance decision making, Improve business process agility, Create internal/operational efficiencies","Strong customer focus, Strong user community, Strong services expertise, Product functionality and performance, Pre-existing relationships, Breadth of services","","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",859974
"I used this for testing","Good for testing tasks. It helped me during my project delivery. The simplicity of working with the tool is amazing.","2019/4/29","5","Invited by Vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1556470800000,"112272380","Tester","Services (non-Government)","<50M USD","IT Security and Risk Management","User Interface","No ","4","Drive revenue growth, Improve compliance & risk management","Pre-existing relationships, Financial/organizational viability","","5","4","5","Hybrid Cloud and On-premises","India",857094
"Katalon Studio pursues the Page Object Model","Katalon Studio gives a double compatible interface to scripting: an account forbidden editorial manager for the less specialized clients and a scripting IDE designed for experienced analyzers to creator robotization tests with sentence structure feature and smart code fruition.","2019/4/29","4","Referred (colleague, friend, peer)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556470800000,"112270920","Developer","Services (non-Government)","<50M USD","Other","The UI is a finished incorporated advancement condition executed on Eclipse rich customer stage. The test robotization structure furnished inside Katalon Studio was created with the watchword driven methodology as the essential test writing technique with information driven usefulness for test execution.","It can't robotize work area applications not at all like some authorized apparatuses like UFT and testcomplete.","4","Drive innovation, Improve compliance & risk management, Cost management","Financial/organizational viability, Overall cost, Product functionality and performance","","4","4","4","Cloud (SaaS or PaaS or IaaS)","India",856709
"Making automation - testing easy and fast : Katalon Studio","Katalon Studio is a complete suite in which we can  test your Web as well as Mobile applications. We can start using the program without having much of technical knowledge.We are able to create test cases quickly. The best feature is the split up between test cases and the test object. This allows us to easily change an error. So overall a nice product for automation of testing.","2019/4/29","4","Referred (colleague, friend, peer)","0","0","On-premises","FALSE",1556470800000,"112270010","System Engineer","Services (non-Government)","<50M USD","Other","It was easy to use and not much training needed to start using it. One can start working instantly.","User community is not big so if we stuck somewhere then not many sources to resolve the issue.","4","Cost management, Reduce time to market, Improve business process outcomes, Enhance decision making, Improve customer relations/service","Overall cost, Product functionality and performance, Financial/organizational viability, Breadth of services","","5","3","4","On-premises","India",856511
"It is a complete package.","The best thing about this tool is it’s a complete package and framework. So you don’t have to download or install any other components when working with it.","2019/4/29","4","Self directed (Gartner.com, search, ad/promo)","0","0","On-premises","FALSE",1556470800000,"112252430","developer","Services (non-Government)","<50M USD","Data and Analytics","You don’t need any programming skills to start.","It is a nice product.","4","Enhance decision making, Drive innovation, Improve business process agility","Overall cost, Product roadmap and future vision, Financial/organizational viability","","4","4","4","On-premises","India",855901
"Lot of features","There are a lot of features built in this tool so even if you are working with some applications developed with something like Angular or AngularJS technologies, it probably has some special libraries and keyword available to you.","2019/4/29","4","Self directed (Gartner.com, search, ad/promo)","0","0","On-premises","FALSE",1556470800000,"112251210","Developer","Services (non-Government)","<50M USD","Data and Analytics","Katalon studio’s user-friendly interface.","It is good overall.","4","Improve compliance & risk management, Enhance decision making","Product functionality and performance, Breadth of services","","4","4","4","On-premises","India",855762
"Implementation is easy and scaleable","It uses Apache Groovy, for the Java platform. Groovy is a powerful dynamic language, It is ideal for creating test scripts. For test execution, Java libraries and Java compatible languages like JRuby and Jython are supported.","2019/4/29","4","Self directed (Gartner.com, search, ad/promo)","0","0","On-premises","FALSE",1556470800000,"112243090","developer","Services (non-Government)","<50M USD","Software Development","It supports the built-in integration with qTest, a powerful and easy-to-use test management system. Katalon Studio supports Java code/libraries to build custom keywords.","It cannot automate desktop applications unlike some licensed tools like UFT and TestComplete.
As of now there is no support for distributed testing.","4","Cost management, Drive innovation","Strong services expertise, Pre-existing relationships","","4","4","4","On-premises","India",850034
"All purpose Test automation tool","Katalon is a really helpful test automation tool and the recording facility had saved lot of time for the team.
Deployment timeline reduced with this tool. 
Debug information and Test reports can be checked with Katalon Studio, in junit format.
Katalon Analytics part is also great.
Easy creation of test suite,test cases makes the tester job easy and efficient. ","2019/4/26","4","Referred (colleague, friend, peer)","0","0","On-premises","FALSE",1556211600000,"112247450","Project Manager","IT Services","500M - 1B USD","Project and Portfolio Management","Easy Test suite creation","Analytics part can be done better.","NaN","","","","3","4","5","On-premises","India",851157
"User friendly with minimum coding efforts..easy to use..","My experience about katalon is very good and satisfying.
As a fresher i started using it but now i'm very friendly to use this tool.
It is an user friendly tool which helps in fastest delivery of the product and easy to use it.
","2019/4/26","5","Referred (colleague, friend, peer)","0","0","On-premises","FALSE",1556211600000,"112217880","DEVELOPER","IT Services","10B - 30B USD","Software Development","It is an user friendly tool which helps in using this tool in an efficient manner as in this tool coding is not there which is an positive side as there would be no fear of coding issues.
Simply recording o the test cases or we can say we have to record our steps as what we have to implement simply.","Sometimes it's memory creates problem and browser problem.","5","Enhance decision making, Cost management, Drive revenue growth, Drive innovation, Create internal/operational efficiencies, Improve business process agility, Improve business process outcomes, Improve compliance & risk management, Reduce time to market, Improve supplier or partner relationships, Improve customer relations/service","Product functionality and performance, Strong user community, Strong services expertise, Strong customer focus, Strong consulting partnership, Product roadmap and future vision, Pre-existing relationships, Overall cost, Financial/organizational viability, Breadth of services","","5","5","5","On-premises","India",850100
"Katalon Studio: Free, simple to deploy and easy to use","One of the best features about Katalon Studio is that is free to license. It is a great tool to test UI elements like popups, iFrames and wait-time. This can be done with minimal knowledge of coding. It works on most modern platforms like Mac, Windows and Linux. It supports local and remote testing as well. It is simple to use and deploy and has wider set of integrations than Selenium.","2019/4/26","4","Referred (colleague, friend, peer)","0","0","On-premises","FALSE",1556211600000,"112124680","Senior Frontend Developer","Services (non-Government)","<50M USD","Software Development","Less coding required to use. 
Easy to learn.
Wider set of integrations.","It is free but not open source. 
","4","Improve business process agility, Improve business process outcomes, Cost management","Strong customer focus, Product functionality and performance, Overall cost","","4","5","4","On-premises","India",830765
"Good practice for inspect element and integrations","It is a good software for automation testing. Easy to create test cases. Used to automate on front-end web applications, mobile and web services. Helps to create test cases where you can select actions and create a test case. Encourage non technical testers to create test cases using keyword approach.","2019/4/26","4","Referred (colleague, friend, peer)","0","0","","FALSE",1556211600000,"112223990","ase","Services (non-Government)","<50M USD","Software Development","Create custom keyword using java and groovy. Also, can add external jar dependencies for any third-party Java library use.","There is limitation for scripting only to java or groovy language. Cannot automate desktop applications.","NaN","","","","NaN","NaN","4","","India",846353
"Useful, Time Saver, Easy to Use, Good UI.","A powerful automation solution with a comprehensive and integrated set of features from recording test steps, generating scripts to executing and reporting test results for Web, API, and mobile test automation. ","2019/4/26","4","Referred (colleague, friend, peer)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1556211600000,"112036840","Software Developer","Services (non-Government)","<50M USD","Management / Business Consulting","With advanced technology, high-quality applications are now inevitable. Manual testing of applications also slows down this rapid process. Considering the different factors such as slowness as well as multi-platform support, cross-browser, responsive design and more, an application's manual test may leave you with unexpected complications and extra efforts. ","I don't think it is very useful for web service and API testing. There may be more browser support. ","4","Improve customer relations/service, Cost management","Strong services expertise, Strong customer focus","","4","5","4","Cloud (SaaS or PaaS or IaaS)","India",849504
"Easy installation and use. Great for professionals who do not have much coding knowledge","As an end user to the Katalon Automation solution, I have thoroughly explored it. It is very useful for novice testers as well as for  experienced professionals. Not much coding knowledge is required while using this and it is very useful for creating regression test cases and saves a lot of time. My team has improved almost 2 days of testing time due to running regression test cases on Katalon Studio. ","2019/4/26","4","Invited by Gartner (email, event, account rep)","0","0","On-premises","FALSE",1556211600000,"112177950","Business Analyst","IT Services","500M - 1B USD","Other","It does not require technical know-how","N/A","NaN","","","","4","5","4","On-premises","India",838203
"Implementation and use is very useful that will easy our work.","It is very useful in functional testing of our application that will provide bugs before deploying code into production ","2019/4/26","5","Other ","0","0","On-premises","FALSE",1556211600000,"112042360","Software Developer","IT Services","3B - 10B USD","Other","It is very useful in our product that will reduce our work and we are able to work smartly. ","It is very useful in our product that will reduce our work and we are able to work smartly.","4","Improve business process outcomes, Create internal/operational efficiencies, Cost management, Improve compliance & risk management","Overall cost, Product functionality and performance, Financial/organizational viability, Breadth of services, Strong services expertise","","4","4","4","On-premises","India",849337
"Katalon-The Complete Solution","Katalon is very nice tool for all purpose projects. It is very helpful for those programmers who are having less programming knowledge. It can be use as scripted mode or manual mode as well.","2019/4/26","5","Referred (colleague, friend, peer)","0","0","On-premises","FALSE",1556211600000,"112240820","unknownTitle","IT Services","3B - 10B USD","Other","It can be use manual mode or scripted mode as well.","Scripted mode is limited for some programming languages.","4","Improve business process agility, Drive revenue growth, Drive innovation, Cost management, Improve business process outcomes, Improve compliance & risk management, Improve customer relations/service, Improve supplier or partner relationships, Reduce time to market, Create internal/operational efficiencies, Enhance decision making","Pre-existing relationships, Strong user community, Strong services expertise, Strong customer focus, Strong consulting partnership, Product roadmap and future vision, Product functionality and performance, Overall cost, Financial/organizational viability, Breadth of services","","4","4","4","On-premises","India",849326
"Innovative learning tool","Selenium the script creation is limited to Java and Groovy in katalon. It cannot automate desktop applications unlike some licensed tools like UFT and Test Complete","2019/4/25","4","Referred (colleague, friend, peer)","0","0","Hybrid Cloud and On-premises","FALSE",1556125200000,"112222520","Functional Tester","IT Services","500M - 1B USD","IT Services","Lots of inbuilt classes,methods are getting included automatic when u start to write cases","Not applicable","5","Improve business process agility, Reduce time to market, Improve compliance & risk management, Improve business process outcomes","Financial/organizational viability, Strong user community, Product functionality and performance, Breadth of services, Pre-existing relationships, Overall cost","","4","4","4","Hybrid Cloud and On-premises","India",846191
"Katalon Studio Review","Overall experience with katalon has been good, with this tool i am able to automate web and mobile application very easily","2019/4/25","4","Referred (colleague, friend, peer)","0","0","Don't know","FALSE",1556125200000,"111795090","Test Engineer","IT Services","<50M USD","Other","Easy to use interface
Record and play option for automation
Test result reporting is good
User is easily able to get page objects using this tool
","Limited Forums and support","4","Other...","Don't know","","4","4","5","Don't know","India",845973
"""Good Automation tool for beginners and all levels of expertise !""","Katalon studio is exceptionally user friendly. It helps an individual to spend less time as  well as efforts to execute the test cases.It has ample of features such as  Katalon recorder and spyweb. It has great tools for beginners.One of the advantages is it has direct Integration with Browserstack, Docker, Git, Jira. One of disadvantage I come across is lack of support for .NET language.","2019/4/25","5","Referred (colleague, friend, peer)","0","0","On-premises","FALSE",1556125200000,"112220570","System Engineer","Energy and Utilities","30B + USD","Other","1) Katalon Studio is giving a platform for manual testers to contribute to the automation effort, and also to utilise their skills of Java and Webdriver.
2) Cucumber support for BDD /ATDD Extendable with external with Java package ","Lack of support for .NET language.","4","Drive revenue growth, Improve customer relations/service, Improve business process outcomes, Enhance decision making, Improve supplier or partner relationships","Pre-existing relationships, Overall cost, Product functionality and performance, Financial/organizational viability","","5","4","5","On-premises","India|France|United States|United Kingdom|Australia",845608
